  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       9.000 |        0.156 |        1.619 |        1.775
       7.000 |        0.074 |        1.901 |        1.975
       7.000 |        0.203 |        3.337 |        3.540
       7.000 |        0.355 |        0.894 |        1.250
       5.000 |        0.284 |        1.261 |        1.545
       5.000 |        0.276 |        1.766 |        2.042
       8.000 |        0.190 |        0.683 |        0.874
      12.000 |        0.083 |        1.088 |        1.172
      10.000 |        0.163 |        1.370 |        1.532
       6.000 |        0.210 |        2.891 |        3.102
       7.000 |        0.171 |        1.733 |        1.904
       5.000 |        0.173 |        1.710 |        1.883
       7.000 |        0.267 |        1.524 |        1.791
      11.000 |        0.175 |        0.682 |        0.857
       9.000 |        0.230 |        1.102 |        1.332
       4.000 |        0.280 |        3.298 |        3.579
      10.000 |        0.300 |        1.367 |        1.667
      10.000 |        0.189 |        0.649 |        0.838
       7.000 |        0.155 |        0.942 |        1.096
       6.000 |        0.148 |        3.001 |        3.148
       6.000 |        0.107 |        1.485 |        1.592
       7.000 |        0.190 |        0.716 |        0.906
       8.000 |        0.085 |        0.690 |        0.775
      11.000 |        0.202 |        1.694 |        1.896
       9.000 |        0.254 |        0.895 |        1.149
      10.000 |        0.204 |        1.276 |        1.481
       9.000 |        0.287 |        0.668 |        0.955
      12.000 |        0.183 |        3.771 |        3.954
       7.000 |        0.322 |        0.852 |        1.174
      11.000 |        0.392 |        1.004 |        1.395
      10.000 |        0.122 |        1.561 |        1.683
       5.000 |        0.183 |        0.721 |        0.904
       9.000 |        0.186 |        3.556 |        3.742
      10.000 |        0.267 |        1.602 |        1.868
       9.000 |        0.087 |        3.883 |        3.970
      10.000 |        0.197 |        2.402 |        2.599
       9.000 |        0.326 |        1.363 |        1.689
       9.000 |        0.203 |        1.164 |        1.367
      13.000 |        0.223 |        2.111 |        2.334
      11.000 |        0.192 |        3.275 |        3.468
       6.000 |        0.223 |        0.993 |        1.215
       5.000 |        0.190 |        0.610 |        0.800
      16.000 |        0.101 |        0.948 |        1.049
       5.000 |        0.284 |        0.836 |        1.120
      11.000 |        0.198 |        0.757 |        0.955
       8.000 |        0.267 |        0.887 |        1.155
      10.000 |        0.144 |        0.994 |        1.138
       7.000 |        0.313 |        0.861 |        1.174
       8.000 |        0.285 |        0.973 |        1.258
       7.000 |        0.153 |        0.785 |        0.937
       7.000 |        0.279 |        2.209 |        2.489
       5.000 |        0.081 |        1.025 |        1.106
      10.000 |        0.213 |        3.281 |        3.494
       7.000 |        0.267 |        0.979 |        1.246
       6.000 |        0.208 |        2.829 |        3.037
      13.000 |        0.185 |        1.340 |        1.525
       7.000 |        0.216 |        0.860 |        1.077
      12.000 |        0.173 |        1.063 |        1.236
      10.000 |        0.269 |        0.827 |        1.096
       5.000 |        0.164 |        1.084 |        1.248
      13.000 |        0.249 |        1.719 |        1.968
      11.000 |        0.149 |        3.011 |        3.160
      15.000 |        0.140 |        1.203 |        1.344
       4.000 |        0.175 |        1.435 |        1.610
       7.000 |        0.202 |        0.885 |        1.087
      12.000 |        0.275 |        1.871 |        2.146
      15.000 |        0.248 |        1.849 |        2.097
       6.000 |        0.214 |        0.965 |        1.180
       7.000 |        0.252 |        0.668 |        0.920
       6.000 |        0.125 |        0.643 |        0.768
       8.000 |        0.266 |        1.230 |        1.496
       7.000 |        0.286 |        1.368 |        1.654
      13.000 |        0.199 |        0.849 |        1.048
       8.000 |        0.127 |        1.530 |        1.657
      12.000 |        0.228 |        0.981 |        1.208
       6.000 |        0.138 |        0.626 |        0.763
      13.000 |        0.257 |        2.010 |        2.267
       6.000 |        0.423 |        0.694 |        1.117
       8.000 |        0.258 |        1.071 |        1.328
       9.000 |        0.316 |        2.232 |        2.548
       6.000 |        0.253 |        3.149 |        3.403
      19.000 |        0.285 |        0.853 |        1.138
       7.000 |        0.249 |        1.046 |        1.295
       9.000 |        0.216 |        1.159 |        1.375
      15.000 |        0.239 |        0.749 |        0.988
       8.000 |        0.124 |        0.808 |        0.932
       8.000 |        0.076 |        0.818 |        0.894
      12.000 |        0.085 |        0.812 |        0.897
       7.000 |        0.268 |        0.597 |        0.865
       6.000 |        0.227 |        0.547 |        0.774
      11.000 |        0.267 |        1.742 |        2.010
       8.000 |        0.131 |        2.099 |        2.230
      10.000 |        0.289 |        0.796 |        1.085
       9.000 |        0.092 |        0.867 |        0.959
       3.000 |        0.160 |        1.203 |        1.363
       8.000 |        0.078 |        1.129 |        1.207
       9.000 |        0.153 |        1.752 |        1.905
      10.000 |        0.139 |        0.812 |        0.951
       8.000 |        0.253 |        1.266 |        1.519
       6.000 |        0.219 |        1.612 |        1.831
       6.000 |        0.139 |        0.441 |        0.581
       6.000 |        0.273 |        0.888 |        1.161
      12.000 |        0.066 |        0.934 |        1.000
       8.000 |        0.091 |        1.318 |        1.409
      10.000 |        0.188 |        1.180 |        1.368
       9.000 |        0.108 |        0.868 |        0.977
      12.000 |        0.143 |        1.495 |        1.638
       9.000 |        0.084 |        1.206 |        1.290
       9.000 |        0.255 |        1.566 |        1.821
       7.000 |        0.286 |        2.099 |        2.386
       9.000 |        0.194 |        1.236 |        1.430
       8.000 |        0.292 |        1.383 |        1.675
       5.000 |        0.210 |        1.082 |        1.293
       6.000 |        0.415 |        2.621 |        3.036
       4.000 |        0.237 |        0.887 |        1.124
       6.000 |        0.159 |        1.276 |        1.435
       5.000 |        0.267 |        1.960 |        2.227
       8.000 |        0.198 |        0.744 |        0.942
      11.000 |        0.078 |        1.953 |        2.031
       6.000 |        0.322 |        0.839 |        1.161
       5.000 |        0.321 |        2.398 |        2.718
      10.000 |        0.277 |        0.955 |        1.232
      11.000 |        0.134 |        0.588 |        0.722
      10.000 |        0.185 |        0.915 |        1.100
       9.000 |        0.303 |        2.469 |        2.772
       5.000 |        0.241 |        2.179 |        2.420
       9.000 |        0.317 |        0.839 |        1.156
       6.000 |        0.217 |        0.850 |        1.068
       7.000 |        0.261 |        2.261 |        2.522
      11.000 |        0.220 |        0.536 |        0.756
      12.000 |        0.129 |        0.706 |        0.834
       7.000 |        0.239 |        3.036 |        3.275
      14.000 |        0.109 |        0.948 |        1.057
      12.000 |        0.131 |        1.355 |        1.486
      15.000 |        0.306 |        1.319 |        1.626
      12.000 |        0.420 |        2.764 |        3.184
      12.000 |        0.283 |        0.651 |        0.934
      11.000 |        0.129 |        1.605 |        1.734
       7.000 |        0.132 |        3.338 |        3.469
       7.000 |        0.269 |        1.446 |        1.715
       7.000 |        0.288 |        1.818 |        2.106
      10.000 |        0.384 |        1.189 |        1.574
      11.000 |        0.285 |        0.998 |        1.283
       4.000 |        0.275 |        1.948 |        2.223
       7.000 |        0.181 |        0.845 |        1.026
       7.000 |        0.113 |        2.998 |        3.110
       8.000 |        0.080 |        1.127 |        1.206
      14.000 |        0.196 |        1.566 |        1.762
       6.000 |        0.081 |        1.018 |        1.099
       9.000 |        0.095 |        1.605 |        1.700
       7.000 |        0.089 |        1.651 |        1.740
       8.000 |        0.294 |        2.275 |        2.569
       7.000 |        0.098 |        1.098 |        1.197
       5.000 |        0.205 |        1.591 |        1.797
       8.000 |        0.206 |        1.034 |        1.240
      10.000 |        0.200 |        2.729 |        2.928
       7.000 |        0.239 |        1.554 |        1.793
      10.000 |        0.376 |        0.819 |        1.195
       9.000 |        0.142 |        0.597 |        0.739
      11.000 |        0.227 |        1.325 |        1.552
       9.000 |        0.139 |        2.327 |        2.466
      12.000 |        0.276 |        0.975 |        1.251
       9.000 |        0.246 |        1.127 |        1.373
       7.000 |        0.282 |        0.802 |        1.085
       7.000 |        0.395 |        1.081 |        1.476
      10.000 |        0.248 |        1.225 |        1.473
       9.000 |        0.087 |        1.132 |        1.219
      12.000 |        0.295 |        0.856 |        1.151
      10.000 |        0.124 |        1.232 |        1.357
       9.000 |        0.216 |        1.383 |        1.598
      15.000 |        0.163 |        0.811 |        0.973
      13.000 |        0.121 |        1.234 |        1.355
       5.000 |        0.209 |        1.848 |        2.057
       6.000 |        0.148 |        0.714 |        0.862
       7.000 |        0.082 |        0.847 |        0.929
      12.000 |        0.196 |        2.525 |        2.721
      12.000 |        0.162 |        3.676 |        3.837
