  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       4.000 |        0.175 |        1.699 |        1.874
      12.000 |        0.271 |        0.628 |        0.899
       6.000 |        0.162 |        2.861 |        3.024
       9.000 |        0.214 |        0.958 |        1.172
       6.000 |        0.189 |        1.758 |        1.946
       8.000 |        0.284 |        0.678 |        0.962
       6.000 |        0.193 |        1.454 |        1.647
      11.000 |        0.173 |        1.005 |        1.177
       4.000 |        0.180 |        1.054 |        1.233
       8.000 |        0.142 |        2.368 |        2.509
      12.000 |        0.174 |        3.865 |        4.039
      15.000 |        0.289 |        0.616 |        0.905
      12.000 |        0.231 |        1.251 |        1.482
      10.000 |        0.147 |        0.664 |        0.811
      11.000 |        0.165 |        0.665 |        0.830
       6.000 |        0.099 |        1.366 |        1.466
       9.000 |        0.139 |        1.228 |        1.367
      10.000 |        0.168 |        0.771 |        0.939
       7.000 |        0.159 |        1.270 |        1.429
      10.000 |        0.152 |        1.175 |        1.327
      13.000 |        0.178 |        2.179 |        2.358
      14.000 |        0.080 |        2.098 |        2.178
       7.000 |        0.188 |        0.622 |        0.810
       8.000 |        0.260 |        3.027 |        3.287
       8.000 |        0.141 |        1.291 |        1.432
       8.000 |        0.206 |        3.208 |        3.414
       9.000 |        0.194 |        1.097 |        1.291
       7.000 |        0.087 |        0.685 |        0.772
      12.000 |        0.188 |        1.373 |        1.561
      14.000 |        0.094 |        1.221 |        1.315
      11.000 |        0.285 |        0.876 |        1.161
       8.000 |        0.174 |        0.615 |        0.790
       6.000 |        0.209 |        1.248 |        1.456
       8.000 |        0.132 |        3.488 |        3.620
       8.000 |        0.140 |        0.779 |        0.920
       4.000 |        0.134 |        0.904 |        1.037
       8.000 |        0.173 |        0.983 |        1.156
      11.000 |        0.221 |        3.776 |        3.998
      15.000 |        0.442 |        1.214 |        1.656
       9.000 |        0.180 |        0.575 |        0.755
      13.000 |        0.109 |        1.160 |        1.269
      10.000 |        0.190 |        2.367 |        2.557
       9.000 |        0.163 |        2.705 |        2.868
       8.000 |        0.253 |        0.677 |        0.930
       9.000 |        0.142 |        0.817 |        0.959
      13.000 |        0.111 |        1.978 |        2.088
      11.000 |        0.152 |        0.730 |        0.882
       6.000 |        0.219 |        1.497 |        1.716
       9.000 |        0.095 |        0.900 |        0.995
      12.000 |        0.107 |        0.704 |        0.810
       9.000 |        0.257 |        0.471 |        0.728
      11.000 |        0.120 |        1.241 |        1.360
       7.000 |        0.196 |        3.639 |        3.835
      12.000 |        0.226 |        3.388 |        3.614
       6.000 |        0.323 |        0.709 |        1.032
      10.000 |        0.216 |        0.708 |        0.925
       9.000 |        0.167 |        4.396 |        4.563
       9.000 |        0.108 |        0.883 |        0.991
       9.000 |        0.210 |        0.657 |        0.867
       9.000 |        0.176 |        0.996 |        1.172
       5.000 |        0.097 |        2.204 |        2.301
       9.000 |        0.086 |        0.614 |        0.701
      11.000 |        0.108 |        0.579 |        0.688
       7.000 |        0.212 |        1.345 |        1.556
       6.000 |        0.220 |        3.035 |        3.254
       8.000 |        0.134 |        0.783 |        0.917
       8.000 |        0.210 |        1.591 |        1.801
       7.000 |        0.128 |        1.796 |        1.924
      17.000 |        0.125 |        0.585 |        0.710
       9.000 |        0.093 |        0.670 |        0.764
      15.000 |        0.265 |        2.334 |        2.599
       8.000 |        0.090 |        4.318 |        4.408
       9.000 |        0.701 |        1.794 |        2.495
       5.000 |        0.129 |        4.114 |        4.243
       9.000 |        1.896 |        0.713 |        2.609
      14.000 |        0.278 |        0.718 |        0.996
       8.000 |        0.243 |        1.468 |        1.712
      20.000 |        0.720 |        4.032 |        4.752
       9.000 |        0.170 |        1.884 |        2.055
       4.000 |        1.362 |        4.660 |        6.023
      11.000 |        0.111 |        1.233 |        1.345
       6.000 |        0.170 |        0.628 |        0.797
       6.000 |        0.164 |        4.524 |        4.688
       7.000 |        0.091 |        0.716 |        0.807
      12.000 |        0.214 |        2.257 |        2.471
       6.000 |        0.185 |        1.326 |        1.512
      12.000 |        0.217 |        0.770 |        0.987
      11.000 |        0.219 |        1.087 |        1.306
      10.000 |        0.288 |        0.928 |        1.216
      10.000 |        0.154 |        0.733 |        0.887
      10.000 |        0.213 |        0.804 |        1.016
       8.000 |        0.178 |        1.361 |        1.539
       6.000 |        0.179 |        1.359 |        1.539
      10.000 |        0.167 |        0.512 |        0.678
      11.000 |        0.083 |        1.020 |        1.103
      10.000 |        0.122 |        2.037 |        2.159
       9.000 |        0.083 |        0.862 |        0.944
       9.000 |        0.138 |        1.477 |        1.615
       5.000 |        0.162 |        0.604 |        0.766
       7.000 |        0.173 |        0.568 |        0.741
       8.000 |        0.165 |        1.774 |        1.939
       9.000 |        0.161 |        2.535 |        2.696
      11.000 |        0.176 |        2.361 |        2.537
       9.000 |        0.199 |        3.338 |        3.537
      11.000 |        0.188 |        1.018 |        1.206
       9.000 |        0.078 |        3.735 |        3.813
       7.000 |        0.983 |        0.819 |        1.802
       8.000 |        0.114 |        3.021 |        3.135
       9.000 |        0.076 |        1.038 |        1.114
      10.000 |        0.209 |        1.734 |        1.942
       8.000 |        0.277 |        2.214 |        2.490
       4.000 |        0.173 |        3.288 |        3.461
       8.000 |        0.280 |        3.257 |        3.537
       6.000 |        0.195 |        0.735 |        0.930
       6.000 |        0.259 |        0.867 |        1.125
       9.000 |        0.207 |        0.749 |        0.956
      11.000 |        0.177 |        1.287 |        1.463
      11.000 |        0.138 |        3.453 |        3.591
       6.000 |        0.183 |        0.819 |        1.001
       8.000 |        0.122 |        3.837 |        3.959
      10.000 |        0.273 |        0.994 |        1.267
       8.000 |        0.151 |        0.894 |        1.045
      10.000 |        0.166 |        3.326 |        3.492
      10.000 |        0.284 |        1.686 |        1.970
       8.000 |        0.156 |        1.089 |        1.246
       6.000 |        0.183 |        2.694 |        2.878
      10.000 |        0.225 |        1.704 |        1.929
       7.000 |        0.172 |        1.982 |        2.155
       9.000 |        0.217 |        0.697 |        0.914
       4.000 |        0.206 |        2.160 |        2.366
      11.000 |        0.230 |        0.664 |        0.893
      13.000 |        0.155 |        0.769 |        0.924
      14.000 |        0.137 |        0.354 |        0.491
       9.000 |        0.139 |        1.042 |        1.181
       7.000 |        0.234 |        2.499 |        2.733
      12.000 |        0.225 |        3.894 |        4.120
       8.000 |        0.196 |        1.737 |        1.933
       6.000 |        0.204 |        0.999 |        1.204
      14.000 |        0.183 |        2.713 |        2.896
      12.000 |        0.114 |        4.069 |        4.183
       9.000 |        0.146 |        1.354 |        1.500
      11.000 |        0.344 |        3.206 |        3.550
       9.000 |        0.311 |        0.768 |        1.079
       6.000 |        0.494 |        0.577 |        1.071
       7.000 |        0.147 |        2.928 |        3.076
       6.000 |        0.439 |        3.413 |        3.852
       9.000 |        0.182 |        5.250 |        5.432
       6.000 |        0.177 |        0.585 |        0.763
      12.000 |        0.838 |        4.054 |        4.893
      10.000 |        0.246 |        2.437 |        2.683
       8.000 |        0.189 |        1.000 |        1.188
       6.000 |        0.131 |        1.043 |        1.173
       7.000 |        0.076 |        1.023 |        1.099
       8.000 |        0.082 |        3.274 |        3.356
       7.000 |        0.095 |        0.665 |        0.759
      15.000 |        0.247 |        1.191 |        1.438
      12.000 |        0.228 |        0.629 |        0.857
       6.000 |        0.096 |        2.629 |        2.725
      10.000 |        0.270 |        0.721 |        0.990
       9.000 |        0.151 |        1.151 |        1.302
      12.000 |        0.076 |        3.015 |        3.091
       8.000 |        0.076 |        0.758 |        0.834
       7.000 |        0.082 |        0.799 |        0.881
      10.000 |        0.137 |        0.603 |        0.740
      13.000 |        0.133 |        0.768 |        0.901
      10.000 |        0.356 |        0.866 |        1.223
       8.000 |        0.216 |        0.867 |        1.083
