p95, p99, cpufreq, cpunumber, qps, energyconsumption
6.878776449999999,9.59918425000001,1.0GHz,10,3500,2259677932
27.650549199999993,37.40596041000003,1.0GHz,10,4000,2307351942
6073.718571699999,6339.104403030001,1.0GHz,10,4500,2563948819
12764.10719495,13330.096089370001,1.0GHz,10,5000,2835766849
20213.302603999997,21055.03209756,1.0GHz,10,5500,3140456133
27653.812625299997,28792.929334440003,1.0GHz,10,6000,3448827536
5.744676950000001,6.61599893,1.0GHz,11,500,1626199817
5.7441862,6.63590003,1.0GHz,11,1000,1837582149
5.772465750000002,6.679640729999999,1.0GHz,11,1500,1963786233
5.816370599999999,6.74110625,1.0GHz,11,2000,2057616620
5.863368549999995,6.800621110000001,1.0GHz,11,2500,2144153080
5.9875321999999995,7.034205680000003,1.0GHz,11,3000,2223190231
6.313888,7.898607120000003,1.0GHz,11,3500,2289725340
12.188134749999998,20.25957073,1.0GHz,11,4000,2357822944
2886.37993855,3019.2473598,1.0GHz,11,4500,2500968756
10421.50339985,10877.918419700001,1.0GHz,11,5000,2815845209
16286.9662677,16967.999436500002,1.0GHz,11,5500,3058231612
23253.20134675,24205.18851347,1.0GHz,11,6000,3350184356
5.753240349999999,6.618105429999997,1.0GHz,12,500,1664314587
5.7719571999999975,6.6652797999999995,1.0GHz,12,1000,1851328390
5.8098258000000005,6.720459359999997,1.0GHz,12,1500,1976574041
5.826938149999997,6.731405939999999,1.0GHz,12,2000,2075650448
5.897365049999996,6.8479151,1.0GHz,12,2500,2167453985
6.017482949999999,7.08889815,1.0GHz,12,3000,2249322550
6.458280199999998,8.86193179000002,1.0GHz,12,3500,2332332408
8.967199499999996,19.97435063,1.0GHz,12,4000,2391513592
2088.9986355999995,2197.530385820001,1.0GHz,12,4500,2520673235
8136.6617262,8498.93658157,1.0GHz,12,5000,-259363926908
14826.8032253,15440.031257130002,1.0GHz,12,5500,3065276333
21462.7536662,22329.203938600003,1.0GHz,12,6000,3344970807
48.34173249999999,68.98609385999995,1.2GHz,1,500,1638231157
46752.2537123,48668.965017380004,1.2GHz,1,1000,3056153370
98367.75636190001,102402.99372932,1.2GHz,1,1500,4577366150
150183.17467384995,156589.38662625998,1.2GHz,1,2000,6118472740
203717.98923084998,212111.99515603,1.2GHz,1,2500,7681469105
255325.66050964996,266127.89852439007,1.2GHz,1,3000,9210045880
308612.76861495,321672.38277937,1.2GHz,1,3500,10782230821
362301.3904827,377490.05876628,1.2GHz,1,4000,12354186086
415164.0629806,432538.55494171,1.2GHz,1,4500,13911778350
466389.6581328,486119.72531131003,1.2GHz,1,5000,15432591413
522522.80951545,544474.54984325,1.2GHz,1,5500,17087788103
573307.9373861,597486.3821972401,1.2GHz,1,6000,18599713798
5.52602005,7.30959613999999,1.2GHz,2,500,1520860120
39.508284149999994,53.542789840000026,1.2GHz,2,1000,1767223564
23506.2279644,24425.90989473,1.2GHz,2,1500,2518010888
51023.05069869999,53226.04586872,1.2GHz,2,2000,3385088746
77895.81664545,81067.74043839,1.2GHz,2,2500,4221749080
103676.2525094,108075.23803121,1.2GHz,2,3000,5029881960
129555.23775229997,135109.38641346002,1.2GHz,2,3500,5841938292
160453.33724984998,167207.09237074,1.2GHz,2,4000,6800696519
188645.0010703,196549.66613254,1.2GHz,2,4500,7688057894
212283.63057525,221320.33566871003,1.2GHz,2,5000,8432790484
240061.89971965,250039.29732114,1.2GHz,2,5500,9293735058
267638.85112915,278918.75416152,1.2GHz,2,6000,10154410467
5.084984499999998,6.197531889999999,1.2GHz,3,500,1517062401
6.119172899999999,8.24168488,1.2GHz,3,1000,1708690939
131.85892295,143.96320530999998,1.2GHz,3,1500,1803386497
18105.4396237,18901.963985439997,1.2GHz,3,2000,2373191618
37361.488902900004,38853.41419066,1.2GHz,3,2500,2980587219
57341.840753699995,59779.01652486,1.2GHz,3,3000,3610838657
74889.40491809999,78076.81824971999,1.2GHz,3,3500,4162787073
93818.30548889999,97779.32629228002,1.2GHz,3,4000,4758982690
112858.59077160001,117593.42958562,1.2GHz,3,4500,5358507278
131318.4082572,136896.87183054,1.2GHz,3,5000,5948280183
150594.2017959,156913.21991169002,1.2GHz,3,5500,6552840402
168939.49584965,176047.3036541,1.2GHz,3,6000,7135978069
5.1598237000000005,6.2518313999999995,1.2GHz,4,500,1540185754
5.289451249999998,6.440336810000001,1.2GHz,4,1000,1746910323
6.586611750000002,8.97456380999999,1.2GHz,4,1500,1832816353
914.6540921999999,975.7363764500001,1.2GHz,4,2000,1918983430
15497.38111355,16086.272514620001,1.2GHz,4,2500,2399129844
30119.858506099998,31406.98267959,1.2GHz,4,3000,2884465394
44593.24188444999,46502.52630495,1.2GHz,4,3500,3364626274
59299.96488619999,61799.318062850005,1.2GHz,4,4000,3847447670
73574.6561721,76669.3459606,1.2GHz,4,4500,-257822319161
88588.44990990001,92366.04066031,1.2GHz,4,5000,4821432054
103021.76126479999,107340.81335761,1.2GHz,4,5500,5297117237
118161.4370265,123131.69750231999,1.2GHz,4,6000,5797943958
5.2359193999999984,6.302340879999999,1.2GHz,5,500,1557711772
5.246114349999993,6.345659700000001,1.2GHz,5,1000,1743599419
5.5001153500000015,6.631701499999998,1.2GHz,5,1500,1852612506
7.282331449999994,9.906404799999999,1.2GHz,5,2000,1919445709
2252.925206,2301.1457241300004,1.2GHz,5,2500,2046090587
14142.71296075,14752.74712534,1.2GHz,5,3000,2458260919
25991.218992199996,27114.007677120007,1.2GHz,5,3500,2866539537
37811.520008499996,39431.77417747,1.2GHz,5,4000,3271645983
49772.04248185,51867.76916417,1.2GHz,5,4500,3687187705
61493.4039079,64127.944187580004,1.2GHz,5,5000,4101687864
73532.87813445,76594.24101104999,1.2GHz,5,5500,4516090855
85415.77972875,89005.69711388001,1.2GHz,5,6000,4925964685
5.307801449999999,6.377623199999997,1.2GHz,6,500,1527259213
5.283579499999997,6.356538550000003,1.2GHz,6,1000,1762202154
5.3607716000000005,6.435372949999995,1.2GHz,6,1500,1871299225
5.655675649999996,6.8738561499999955,1.2GHz,6,2000,1940462867
9.03124765,12.36187797,1.2GHz,6,2500,2000359503
3289.9454165499997,3440.3247152,1.2GHz,6,3000,2141262157
13231.414845349998,13817.74788493,1.2GHz,6,3500,2493088527
23375.506593150003,24384.901423770003,1.2GHz,6,4000,2855149795
34707.16614144999,36165.25793377,1.2GHz,6,4500,3271504808
43554.118670749995,45426.88922684,1.2GHz,6,5000,3573341255
53789.10706615,56040.50839379,1.2GHz,6,5500,3938034474
63519.8082538,66184.0813718,1.2GHz,6,6000,4281468653
5.394681599999999,6.401936699999999,1.2GHz,7,500,1560099339
5.3855553,6.41295602,1.2GHz,7,1000,1775273166
5.4969605,6.56487089,1.2GHz,7,1500,1899952351
5.481147799999999,6.544856119999999,1.2GHz,7,2000,1967483916
5.965815099999997,7.424423970000001,1.2GHz,7,2500,2032728866
11.60541054999999,15.341669950000004,1.2GHz,7,3000,2093409680
4461.401911450001,4677.300545310001,1.2GHz,7,3500,2267412530
13947.0004878,14562.685236780002,1.2GHz,7,4000,2626628713
22653.737460999997,23612.11317648,1.2GHz,7,4500,2941801917
31396.1360077,32770.489666069996,1.2GHz,7,5000,3266353821
40105.74616250001,41778.64196457,1.2GHz,7,5500,3577343747
48926.43175395,50970.513878159996,1.2GHz,7,6000,3904379043
5.449392249999999,6.47699518,1.2GHz,8,500,1601225515
5.475072599999999,6.48728015,1.2GHz,8,1000,1787141665
5.429715350000001,6.471253549999999,1.2GHz,8,1500,1913247055
5.4763805999999935,6.532703969999999,1.2GHz,8,2000,1994494162
5.7579954499999975,6.929255670000002,1.2GHz,8,2500,2064701624
6.355230499999996,8.323294970000026,1.2GHz,8,3000,2117951121
20.2516688,28.380747790000026,1.2GHz,8,3500,2173952992
6267.563463,6563.40476194,1.2GHz,8,4000,2415162396
14392.9938795,15002.83880297,1.2GHz,8,4500,2728087255
23307.799349900004,24326.473338649997,1.2GHz,8,5000,3082327436
31350.80941785,32660.57170072,1.2GHz,8,5500,3390588610
38382.29255135,39983.84340953999,1.2GHz,8,6000,3644152292
5.50451675,6.510382309999999,1.2GHz,9,500,1593369089
5.5154634,6.51957829,1.2GHz,9,1000,1817231799
5.489758950000001,6.526561669999998,1.2GHz,9,1500,1931504394
5.52213,6.561631,1.2GHz,9,2000,2020919815
5.577757499999999,6.632309240000001,1.2GHz,9,2500,2094575692
5.865381399999997,7.115927830000001,1.2GHz,9,3000,2158609037
7.794684199999993,11.178259760000008,1.2GHz,9,3500,2219588068
2549.3679217,2688.87678878,1.2GHz,9,4000,2360943419
8335.589709099997,8698.21556776,1.2GHz,9,4500,2587083098
15785.160002299997,16466.80467662,1.2GHz,9,5000,2885736021
23026.29155725,23969.15844376,1.2GHz,9,5500,3170182558
30988.330686049998,32268.02120053,1.2GHz,9,6000,3490109657
5.562306749999999,6.545026019999999,1.2GHz,10,500,1648725089
5.551791299999997,6.56420482,1.2GHz,10,1000,1829880814
5.5907044500000005,6.604317219999999,1.2GHz,10,1500,1947198201
5.58186805,6.596276129999998,1.2GHz,10,2000,2038708954
5.6516798,6.6835708700000005,1.2GHz,10,2500,2125348563
5.791852849999998,6.915908920000001,1.2GHz,10,3000,2194365354
6.2668154,7.93946454,1.2GHz,10,3500,2253574919
12.235188499999998,17.735774040000017,1.2GHz,10,4000,2301380461
3816.5673923,3978.14944947,1.2GHz,10,4500,2479417786
10705.54902545,11187.01455999,1.2GHz,10,5000,2766140380
17481.8829425,18217.03218057,1.2GHz,10,5500,3038530918
24355.0325337,25374.582378760002,1.2GHz,10,6000,3322119547
5.583083349999999,6.553710149999998,1.2GHz,11,500,1677805763
5.583459149999999,6.578893050000001,1.2GHz,11,1000,1837400570
5.624095700000001,6.642897799999998,1.2GHz,11,1500,1961694197
5.649045199999998,6.659013319999998,1.2GHz,11,2000,2060967868
5.688345749999999,6.722397730000001,1.2GHz,11,2500,2146106444
5.801238949999999,6.88338768000001,1.2GHz,11,3000,2222516589
