  QueueTimes | ServiceTimes | SojournTimes
       1.191 |        0.334 |        1.524
       0.181 |        1.624 |        1.806
       0.183 |        1.919 |        2.103
       0.949 |        0.941 |        1.891
       1.081 |        0.553 |        1.634
       0.162 |        0.558 |        0.720
       0.177 |        0.983 |        1.160
       0.184 |        0.629 |        0.813
       0.186 |        0.960 |        1.146
       0.375 |        1.580 |        1.955
       1.581 |        0.313 |        1.894
       0.181 |        0.857 |        1.038
       0.171 |        0.729 |        0.900
       0.170 |        0.346 |        0.516
       0.444 |        0.432 |        0.875
       0.420 |        0.697 |        1.117
       0.309 |        0.402 |        0.711
       0.176 |        0.968 |        1.143
       1.173 |        0.619 |        1.791
       1.708 |        0.505 |        2.213
       0.132 |        0.762 |        0.894
       0.545 |        0.478 |        1.023
       0.179 |        1.452 |        1.631
       0.447 |        2.633 |        3.080
       1.605 |        1.433 |        3.038
       0.150 |        2.575 |        2.725
       2.373 |        0.377 |        2.750
       2.462 |        0.540 |        3.002
       0.154 |        1.808 |        1.962
       1.642 |        0.420 |        2.062
       1.720 |        1.242 |        2.962
       0.181 |        0.481 |        0.662
       0.196 |        1.336 |        1.532
       1.453 |        0.393 |        1.846
       1.182 |        0.393 |        1.576
       1.134 |        0.602 |        1.736
       1.574 |        1.241 |        2.814
       1.189 |        1.213 |        2.402
       0.174 |        1.345 |        1.518
       1.171 |        1.871 |        3.043
       0.179 |        0.454 |        0.633
       0.141 |        0.548 |        0.689
       0.122 |        0.282 |        0.404
       0.133 |        1.298 |        1.431
       0.179 |        1.478 |        1.657
       1.051 |        0.553 |        1.605
       1.339 |        0.559 |        1.898
       1.933 |        0.958 |        2.890
       0.152 |        1.345 |        1.497
       0.187 |        0.800 |        0.987
       0.275 |        0.387 |        0.662
       0.178 |        1.461 |        1.639
       0.846 |        1.140 |        1.987
       1.430 |        2.444 |        3.874
       0.180 |        0.379 |        0.559
       0.185 |        0.574 |        0.759
       0.186 |        1.009 |        1.195
       1.179 |        0.345 |        1.524
