  QueueTimes | ServiceTimes | SojournTimes
     130.996 |        0.284 |      131.280
     131.088 |        0.254 |      131.342
     131.115 |        0.341 |      131.456
     131.552 |        0.281 |      131.833
     131.038 |        0.224 |      131.263
     130.350 |        0.787 |      131.138
     130.717 |        0.213 |      130.930
     130.759 |        1.086 |      131.845
     129.502 |        0.275 |      129.777
     129.660 |        0.421 |      130.082
     129.870 |        0.383 |      130.253
     129.979 |        0.255 |      130.234
     130.132 |        0.827 |      130.959
     130.087 |        0.337 |      130.425
     129.460 |        0.585 |      130.045
     129.831 |        0.815 |      130.646
     126.480 |        0.322 |      126.802
     126.321 |        0.420 |      126.742
     126.811 |        0.160 |      126.972
     126.797 |        0.231 |      127.028
     126.338 |        0.555 |      126.893
     126.490 |        0.595 |      127.085
     126.752 |        0.367 |      127.119
     127.012 |        0.381 |      127.393
     126.853 |        0.768 |      127.621
     126.096 |        1.064 |      127.160
     124.809 |        0.598 |      125.408
     124.035 |        0.598 |      124.633
     122.690 |        0.424 |      123.114
     120.816 |        1.265 |      122.081
     120.313 |        0.949 |      121.262
     120.922 |        0.388 |      121.310
     121.308 |        0.573 |      121.881
     121.956 |        0.826 |      122.781
     121.851 |        0.286 |      122.137
     120.007 |        0.265 |      120.272
     118.990 |        1.157 |      120.147
     117.965 |        0.468 |      118.433
     117.083 |        1.250 |      118.332
     118.116 |        0.413 |      118.529
     118.590 |        0.244 |      118.834
     117.924 |        1.092 |      119.016
     117.646 |        0.361 |      118.007
     117.157 |        1.002 |      118.160
     117.566 |        1.534 |      119.100
     118.952 |        0.376 |      119.329
     118.540 |        0.206 |      118.746
     118.478 |        0.369 |      118.847
     118.197 |        0.651 |      118.848
     118.946 |        0.426 |      119.372
     118.014 |        1.409 |      119.423
     118.824 |        0.603 |      119.428
     119.422 |        1.713 |      121.134
     120.035 |        0.699 |      120.734
     120.245 |        0.257 |      120.502
     119.330 |        0.702 |      120.032
     120.022 |        0.906 |      120.927
     119.440 |        0.587 |      120.027
     119.028 |        0.463 |      119.492
     119.197 |        0.967 |      120.165
     119.961 |        1.382 |      121.344
     120.302 |        0.646 |      120.949
     120.678 |        0.397 |      121.075
     120.895 |        0.342 |      121.237
     121.165 |        0.427 |      121.592
     121.318 |        0.350 |      121.668
     121.627 |        0.247 |      121.874
     118.829 |        1.093 |      119.922
     119.362 |        1.424 |      120.785
     120.628 |        0.689 |      121.317
     120.905 |        0.395 |      121.300
     120.862 |        0.406 |      121.268
     120.741 |        0.690 |      121.431
     119.369 |        0.293 |      119.662
     119.220 |        0.625 |      119.845
     119.617 |        1.162 |      120.779
     120.833 |        0.227 |      121.060
     119.355 |        0.442 |      119.797
     117.688 |        0.514 |      118.203
     116.330 |        0.237 |      116.567
     116.507 |        0.310 |      116.817
     116.684 |        0.496 |      117.180
     116.931 |        0.287 |      117.218
     116.628 |        0.601 |      117.229
     117.242 |        0.484 |      117.727
     117.870 |        0.369 |      118.239
     117.495 |        0.528 |      118.024
     117.782 |        0.345 |      118.126
     117.510 |        0.893 |      118.403
     117.955 |        1.924 |      119.880
     119.428 |        1.031 |      120.459
