mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520958819326,0.880420,0.692913,0.055191,0.099738,0.906289,1.008631,0.813194,0.911221,0.791960,0.720513,0.043812,0.088491,14710152.626872,2531530.745005,943052.905620,1576081.157913
1520958819426,0.852825,0.706037,0.053876,0.097113,0.906289,1.007398,0.812577,0.909371,0.771715,0.711260,0.043779,0.088312,14710152.705048,2531530.815707,943052.910026,1576081.166757
1520958819526,0.885677,0.115486,0.052562,0.097113,0.906289,1.008015,0.807645,0.908138,0.802679,0.116411,0.042452,0.088192,14710152.784227,2531530.879323,943052.914475,1576081.175609
1520958819627,0.883049,0.115486,0.052562,0.094488,0.906289,1.008015,0.808878,0.908138,0.799106,0.116411,0.042517,0.085808,14710152.863949,2531530.899832,943052.918860,1576081.184302
1520958819727,0.872536,0.750656,0.055191,0.097113,0.907522,1.008015,0.813194,0.909988,0.791845,0.756673,0.044881,0.088372,14710152.943613,2531530.949353,943052.923296,1576081.193089
1520958819827,0.856767,0.821522,0.053876,0.097113,0.906289,1.006782,0.812577,0.908755,0.777535,0.824451,0.043812,0.088252,14710153.022839,2531531.026831,943052.927764,1576081.201924
1520958819927,0.879106,0.233596,0.061761,0.097113,0.906905,1.004316,0.812577,0.909371,0.796074,0.234604,0.050185,0.088312,14710153.101134,2531531.095776,943052.932144,1576081.210762
1520958820027,0.873850,0.131234,0.052562,0.094488,0.906289,1.007398,0.806412,0.908138,0.791960,0.132204,0.042387,0.085808,14710153.180675,2531531.159890,943052.936674,1576081.219605
1520958820127,0.859396,0.104987,0.052562,0.097113,0.906289,1.008015,0.808261,0.908138,0.778860,0.105828,0.042484,0.088192,14710153.259774,2531531.173437,943052.941040,1576081.228334
1520958820227,0.896189,0.370079,0.055191,0.097113,0.906905,1.009248,0.808261,0.909371,0.812759,0.373501,0.044608,0.088312,14710153.339721,2531531.239854,943052.945522,1576081.237203
1520958820327,0.860710,0.112861,0.052562,0.097113,0.905672,1.008015,0.807645,0.908138,0.779521,0.113765,0.042419,0.088192,14710153.419773,2531531.299238,943052.950009,1576081.246065
1520958820427,0.885677,0.107612,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.802679,0.108474,0.042419,0.085808,14710153.499546,2531531.349001,943052.954467,1576081.254883
1520958820527,0.873850,0.104987,0.052562,0.097113,0.906289,1.007398,0.807645,0.908138,0.791422,0.105764,0.042452,0.085808,14710153.579066,2531531.373135,943052.958904,1576081.263627
1520958820628,0.875164,0.112861,0.052562,0.094488,0.905672,1.008015,0.807645,0.908138,0.792612,0.113765,0.042452,0.085808,14710153.658586,2531531.389571,943052.963283,1576081.272314
1520958820728,0.869908,0.107612,0.052562,0.097113,0.906289,1.008015,0.807028,0.908138,0.788388,0.108474,0.042419,0.088192,14710153.738762,2531531.442054,943052.967740,1576081.281120
1520958820828,0.869908,0.104987,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.788388,0.105828,0.042419,0.085808,14710153.818170,2531531.483209,943052.972214,1576081.289846
1520958820928,0.872536,0.110236,0.052562,0.094488,0.905672,1.008015,0.807028,0.908138,0.790232,0.111120,0.042419,0.085808,14710153.897676,2531531.513295,943052.976680,1576081.298552
1520958821028,0.864652,0.115486,0.052562,0.094488,0.905672,1.008015,0.807028,0.908138,0.783624,0.116411,0.042419,0.085808,14710153.976699,2531531.530236,943052.981021,1576081.307187
1520958821128,0.881735,0.183727,0.053876,0.094488,0.906289,1.008015,0.807645,0.908755,0.799106,0.185200,0.043513,0.085867,14710154.056789,2531531.579365,943052.985538,1576081.315948
1520958821228,0.876478,0.661417,0.053876,0.097113,0.906905,1.007398,0.811961,0.909988,0.796074,0.663667,0.043746,0.088372,14710154.136192,2531531.606759,943052.989914,1576081.324642
1520958821328,0.880420,0.774278,0.053876,0.097113,0.906289,1.008015,0.813194,0.909988,0.799106,0.780484,0.043812,0.088372,14710154.215681,2531531.654020,943052.994280,1576081.333369
1520958821428,0.890933,0.682415,0.053876,0.097113,0.906289,1.008015,0.813194,0.909371,0.807442,0.687884,0.043812,0.088312,14710154.295617,2531531.709115,943052.998678,1576081.342177
1520958821528,0.885677,0.721785,0.053876,0.097113,0.906289,1.008015,0.813194,0.909371,0.801488,0.727570,0.043812,0.088312,14710154.376319,2531531.780368,943053.003092,1576081.351041
1520958821629,0.897503,0.774278,0.055191,0.097113,0.906289,1.008015,0.811961,0.909371,0.813397,0.780484,0.044813,0.088312,14710154.457574,2531531.851492,943053.007538,1576081.359930
1520958821729,0.871222,0.104987,0.052562,0.097113,0.906289,1.008015,0.807028,0.908138,0.789579,0.105828,0.042419,0.088192,14710154.537253,2531531.885036,943053.011856,1576081.368728
1520958821829,0.868594,0.104987,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.787197,0.105828,0.042419,0.085808,14710154.616437,2531531.900849,943053.016115,1576081.377435
1520958821929,0.869908,0.104987,0.052562,0.094488,0.906289,1.008015,0.807645,0.908138,0.788388,0.105828,0.042452,0.085808,14710154.695580,2531531.918297,943053.020379,1576081.386107
1520958822029,0.872536,0.107612,0.052562,0.094488,0.906289,1.008015,0.807645,0.908138,0.790769,0.108474,0.042452,0.085808,14710154.775140,2531531.947228,943053.024689,1576081.394796
1520958822129,0.869908,0.745407,0.052562,0.097113,0.905672,1.008015,0.812577,0.908755,0.787851,0.751381,0.042711,0.088252,14710154.855604,2531532.013774,943053.029070,1576081.403631
1520958822229,0.881735,0.742782,0.053876,0.099738,0.906905,1.008015,0.813810,0.909988,0.796724,0.746090,0.043845,0.090760,14710154.936029,2531532.084016,943053.033496,1576081.412496
1520958822329,0.876478,0.173228,0.052562,0.094488,0.907522,1.009248,0.807645,0.909371,0.795423,0.174830,0.042452,0.085925,14710155.015582,2531532.107952,943053.037786,1576081.421231
1520958822429,0.880420,0.713911,0.053876,0.099738,0.906905,1.008015,0.812577,0.909371,0.798458,0.719633,0.043779,0.090698,14710155.096902,2531532.171009,943053.042263,1576081.430098
1520958822529,0.872536,0.674541,0.053876,0.097113,0.906289,1.008015,0.811961,0.908755,0.789579,0.679947,0.043746,0.088252,14710155.178487,2531532.240918,943053.046738,1576081.438987
1520958822630,0.905388,0.706037,0.055191,0.097113,0.906289,1.008015,0.811961,0.908138,0.820542,0.711695,0.044813,0.088192,14710155.260582,2531532.310199,943053.051242,1576081.447911
1520958822730,0.905388,0.658793,0.055191,0.097113,0.906289,1.008015,0.811961,0.908755,0.820542,0.661427,0.044813,0.088252,14710155.342721,2531532.377708,943053.055765,1576081.456860
1520958822830,0.883049,0.669291,0.055191,0.099738,0.906289,1.008015,0.812577,0.909371,0.801488,0.674656,0.044847,0.090698,14710155.424656,2531532.446228,943053.060286,1576081.465850
1520958822930,0.893561,0.716535,0.053876,0.097113,0.906289,1.008015,0.812577,0.908138,0.809824,0.722278,0.043779,0.088192,14710155.506235,2531532.516629,943053.064770,1576081.474855
1520958823030,0.902760,0.658793,0.053876,0.097113,0.906289,1.008015,0.812577,0.908138,0.819352,0.664073,0.044813,0.088192,14710155.587812,2531532.587512,943053.069257,1576081.483860
1520958823130,0.871222,0.115486,0.052562,0.097113,0.906289,1.008015,0.807028,0.908138,0.789579,0.116411,0.042419,0.088192,14710155.669048,2531532.654558,943053.073746,1576081.492884
1520958823230,0.940867,0.698163,0.060447,0.097113,0.906289,1.007398,0.812577,0.909371,0.850315,0.692752,0.049118,0.088312,14710155.748751,2531532.688274,943053.078086,1576081.501772
1520958823330,0.871222,0.104987,0.052562,0.097113,0.905672,1.008015,0.807645,0.908138,0.789041,0.105828,0.042452,0.088192,14710155.828898,2531532.713331,943053.082441,1576081.510633
1520958823430,0.873850,0.104987,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.791960,0.105828,0.042419,0.085808,14710155.908006,2531532.725700,943053.086699,1576081.519422
1520958823531,0.865966,0.112861,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.784815,0.113765,0.042387,0.085808,14710155.987278,2531532.740287,943053.090952,1576081.528131
1520958823631,0.872536,0.110236,0.052562,0.094488,0.906289,1.008015,0.807028,0.908138,0.790769,0.111120,0.042419,0.085808,14710156.066340,2531532.752996,943053.095207,1576081.536784
1520958823731,0.873850,0.104987,0.052562,0.094488,0.905672,1.007398,0.807028,0.908138,0.791422,0.108408,0.042419,0.085808,14710156.146323,2531532.788965,943053.099547,1576081.545522
1520958823831,0.888305,0.677165,0.055191,0.097113,0.905672,1.008015,0.811961,0.908138,0.804513,0.682593,0.044813,0.088192,14710156.226062,2531532.849811,943053.103921,1576081.554336
1520958823931,0.846255,0.845144,0.052562,0.097113,0.905672,1.008015,0.812577,0.908755,0.766429,0.851918,0.042711,0.088252,14710156.304949,2531532.927948,943053.108302,1576081.563200
1520958824031,0.889619,0.703412,0.053876,0.099738,0.905672,1.008015,0.813194,0.909371,0.807442,0.709050,0.043812,0.090698,14710156.385966,2531533.001890,943053.112743,1576081.572108
1520958824131,0.889619,0.632546,0.055191,0.097113,0.906905,1.008015,0.813194,0.909371,0.806800,0.637616,0.044881,0.088312,14710156.466491,2531533.075092,943053.117199,1576081.581065
1520958824231,0.897503,0.632546,0.056505,0.099738,0.906905,1.007398,0.812577,0.909371,0.814504,0.640261,0.045914,0.090698,14710156.548074,2531533.144272,943053.121698,1576081.590074
1520958824331,0.848883,0.847769,0.052562,0.097113,0.905672,1.008015,0.812577,0.908138,0.767620,0.854564,0.042711,0.088192,14710156.625537,2531533.226497,943053.126074,1576081.598967
1520958824431,0.871222,0.107612,0.052562,0.097113,0.906289,1.007398,0.807028,0.908138,0.789579,0.108408,0.042419,0.088192,14710156.704570,2531533.289911,943053.130467,1576081.607891
1520958824532,0.863338,0.811024,0.053876,0.099738,0.907522,1.008015,0.813194,0.909988,0.782965,0.817524,0.043812,0.090760,14710156.784317,2531533.323686,943053.134803,1576081.616784
