mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520969169378,0.839685,0.102362,0.123522,0.091864,0.905672,1.007398,0.807028,0.908138,0.760479,0.103120,0.099686,0.083425,14718231.274058,2536622.394437,943615.492112,1577038.116653
1520969169478,0.840999,0.104987,0.124836,0.091864,0.905672,1.007398,0.807645,0.908138,0.760997,0.103120,0.100823,0.083425,14718231.350241,2536622.405008,943615.502222,1577038.125125
1520969169578,0.839685,0.104987,0.130092,0.094488,0.905672,1.007398,0.806412,0.908138,0.760479,0.105764,0.104908,0.085808,14718231.426818,2536622.415824,943615.512896,1577038.133579
1520969169679,0.862024,0.118110,0.145861,0.091864,0.905672,1.008015,0.807028,0.908755,0.780051,0.119057,0.117804,0.083481,14718231.503547,2536622.426851,943615.523814,1577038.142046
1520969169779,0.848883,0.107612,0.147175,0.091864,0.906289,1.008015,0.807028,0.908138,0.769333,0.108474,0.118774,0.083425,14718231.581670,2536622.438814,943615.535644,1577038.150505
1520969169879,0.839685,0.107612,0.122208,0.091864,0.905672,1.008015,0.807645,0.908138,0.761669,0.108474,0.098625,0.083425,14718231.658779,2536622.450060,943615.546347,1577038.158957
1520969169979,0.862024,0.107612,0.136662,0.094488,0.905672,1.007398,0.807028,0.908755,0.780711,0.108408,0.110290,0.085867,14718231.736991,2536622.461275,943615.557108,1577038.167429
1520969170079,0.863338,0.107612,0.124836,0.094488,0.905672,1.007398,0.807645,0.908138,0.781901,0.108408,0.100823,0.085808,14718231.815464,2536622.472411,943615.567928,1577038.175921
1520969170179,0.868594,0.112861,0.141919,0.094488,0.905672,1.007398,0.806412,0.908138,0.786661,0.113696,0.114445,0.085808,14718231.894200,2536622.483899,943615.578233,1577038.184404
1520969170279,0.854139,0.115486,0.123522,0.091864,0.905672,1.008015,0.807028,0.908138,0.777140,0.116411,0.099686,0.083425,14718231.972304,2536622.495192,943615.585927,1577038.192869
1520969170379,0.852825,0.110236,0.145861,0.094488,0.905672,1.007398,0.807028,0.908138,0.772380,0.111052,0.117714,0.085808,14718232.050948,2536622.508509,943615.596951,1577038.201361
1520969170479,0.851511,0.110236,0.141919,0.094488,0.905672,1.008015,0.807645,0.908755,0.771190,0.111120,0.114620,0.085867,14718232.128733,2536622.520077,943615.608273,1577038.209846
1520969170579,0.848883,0.107612,0.139290,0.094488,0.905672,1.008015,0.807645,0.908755,0.768810,0.108474,0.112497,0.085867,14718232.206499,2536622.531737,943615.619487,1577038.218355
1520969170680,0.883049,0.131234,0.140604,0.094488,0.906289,1.008015,0.807645,0.908755,0.800297,0.132285,0.113558,0.085867,14718232.284142,2536622.543356,943615.630701,1577038.226857
1520969170780,0.851511,0.107612,0.141919,0.094488,0.905672,1.007398,0.807645,0.908755,0.771190,0.108408,0.114620,0.085867,14718232.361847,2536622.554936,943615.641634,1577038.235349
1520969170880,0.873850,0.123360,0.130092,0.094488,0.906289,1.008015,0.807645,0.908755,0.790769,0.124348,0.105068,0.085867,14718232.440108,2536622.567038,943615.652534,1577038.243865
1520969170980,0.848883,0.107612,0.137976,0.094488,0.905672,1.007398,0.807645,0.908755,0.768810,0.111120,0.111436,0.085867,14718232.518115,2536622.578886,943615.663492,1577038.252382
1520969171080,0.843627,0.104987,0.122208,0.094488,0.905672,1.007398,0.807028,0.908138,0.764049,0.105764,0.098625,0.085808,14718232.596264,2536622.590914,943615.674101,1577038.260890
1520969171180,0.886991,0.133858,0.137976,0.094488,0.905672,1.008631,0.807645,0.908755,0.804513,0.137661,0.110459,0.085867,14718232.673735,2536622.602564,943615.684319,1577038.269381
1520969171280,0.864652,0.118110,0.135348,0.094488,0.906289,1.008015,0.807028,0.908138,0.783624,0.119057,0.109230,0.085808,14718232.751224,2536622.614115,943615.694887,1577038.277899
