Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:32:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:24         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:24        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:26          0     47.94      0.00     10.82      0.00      0.00     41.24
18:32:26          2     47.76      0.00     11.94      0.00      0.00     40.30
18:32:26          4     46.32      0.00     10.00      0.00      0.00     43.68
18:32:26          6     47.45      0.00     11.22      0.00      0.00     41.33
18:32:26          8     48.00      0.00     11.00      0.00      0.00     41.00
18:32:26         10     45.60      0.00     12.44      0.00      0.00     41.97
18:32:26         12     46.46      0.00     12.12      0.00      0.00     41.41
18:32:26         14     46.43      0.00     11.22      0.00      0.00     42.35
18:32:26         16     49.01      0.00     10.40      0.00      0.00     40.59
18:32:26         18     47.47      0.00     11.11      0.00      0.00     41.41
18:32:26         20     45.88      0.00     11.34      0.00      0.00     42.78
18:32:26         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:28          0     47.76      0.00     11.44      0.00      0.00     40.80
18:32:28          2     48.99      0.00      9.60      0.00      0.00     41.41
18:32:28          4     46.46      0.00     13.64      0.00      0.00     39.90
18:32:28          6     47.94      0.00     10.31      0.00      0.00     41.75
18:32:28          8     47.98      0.00     10.61      0.00      0.00     41.41
18:32:28         10     46.67      0.00     11.28      0.00      0.00     42.05
18:32:28         12     49.00      0.00     10.50      0.00      0.00     40.50
18:32:28         14     46.97      0.00     11.11      0.00      0.00     41.92
18:32:28         16     49.47      0.00      8.42      0.00      0.00     42.11
18:32:28         18     49.23      0.00      9.23      0.00      0.00     41.54
18:32:28         20     51.01      0.00      8.59      0.00      0.00     40.40
18:32:28         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:28        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:30          0     47.98      0.00     12.12      0.00      0.00     39.90
18:32:30          2     47.42      0.00     10.82      0.00      0.00     41.75
18:32:30          4     49.75      0.00     10.34      0.00      0.00     39.90
18:32:30          6     44.67      0.00     13.71      0.00      0.00     41.62
18:32:30          8     49.24      0.00     10.15      0.00      0.00     40.61
18:32:30         10     48.99      0.00     10.61      0.00      0.00     40.40
18:32:30         12     48.21      0.00     10.77      0.00      0.00     41.03
18:32:30         14     48.44      0.00     10.42      0.00      0.00     41.15
18:32:30         16     47.06      0.00     10.16      0.00      0.00     42.78
18:32:30         18     45.64      0.00     12.82      0.00      0.00     41.54
18:32:30         20     47.29      0.00     12.32      0.00      0.00     40.39
18:32:30         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:30        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:32          0     46.50      0.00     13.50      0.00      0.00     40.00
18:32:32          2     46.70      0.00     12.18      0.00      0.00     41.12
18:32:32          4     46.67      0.00     11.79      0.00      0.00     41.54
18:32:32          6     51.50      0.00      8.00      0.00      0.00     40.50
18:32:32          8     46.39      0.00     11.86      0.00      0.00     41.75
18:32:32         10     46.94      0.00     11.73      0.00      0.00     41.33
18:32:32         12     49.75      0.00      9.55      0.00      0.00     40.70
18:32:32         14     46.70      0.00     11.17      0.00      0.00     42.13
18:32:32         16     49.02      0.00     11.27      0.00      0.00     39.71
18:32:32         18     48.51      0.00     11.39      0.00      0.00     40.10
18:32:32         20     47.47      0.00     12.12      0.00      0.00     40.40
18:32:32         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:32        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:34          0     47.78      0.00     12.32      0.00      0.00     39.90
18:32:34          2     48.74      0.00     11.06      0.00      0.00     40.20
18:32:34          4     46.73      0.00     13.07      0.00      0.00     40.20
18:32:34          6     49.24      0.00      8.63      0.00      0.00     42.13
18:32:34          8     45.96      0.00     12.63      0.00      0.00     41.41
18:32:34         10     50.97      0.00     11.17      0.00      0.00     37.86
18:32:34         12     51.23      0.00      9.85      0.00      0.00     38.92
18:32:34         14     50.25      0.00      9.95      0.00      0.00     39.80
18:32:34         16     44.39      0.00     13.78      0.00      0.00     41.84
18:32:34         18     50.76      0.00      8.63      0.00      0.00     40.61
18:32:34         20     50.00      0.00      8.25      0.00      0.00     41.75
18:32:34         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:36          0     45.92      0.00     12.24      0.00      0.00     41.84
18:32:36          2     47.80      0.00     12.20      0.00      0.00     40.00
18:32:36          4     50.00      0.00      8.33      0.00      0.00     41.67
18:32:36          6     45.36      0.00     11.86      0.00      0.00     42.78
18:32:36          8     50.00      0.00      8.67      0.00      0.00     41.33
18:32:36         10     45.13      0.00     12.31      0.00      0.00     42.56
18:32:36         12     48.04      0.00     12.25      0.00      0.00     39.71
18:32:36         14     49.02      0.00     10.29      0.00      0.00     40.69
18:32:36         16     47.96      0.00      9.69      0.00      0.00     42.35
18:32:36         18     50.00      0.00      8.08      0.00      0.00     41.92
18:32:36         20     48.77      0.00     11.33      0.00      0.00     39.90
18:32:36         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:36        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:38          0     44.72      0.00     14.57      0.00      0.00     40.70
18:32:38          2     46.07      0.00     11.52      0.00      0.00     42.41
18:32:38          4     48.24      0.00     11.56      0.00      0.00     40.20
18:32:38          6     50.00      0.00      8.67      0.00      0.00     41.33
18:32:38          8     47.47      0.00     12.12      0.00      0.00     40.40
18:32:38         10     46.73      0.00     12.06      0.00      0.00     41.21
18:32:38         12     48.28      0.00     11.82      0.00      0.00     39.90
18:32:38         14     48.26      0.00     11.44      0.00      0.00     40.30
18:32:38         16     45.13      0.00     12.82      0.00      0.00     42.05
18:32:38         18     45.83      0.00     11.98      0.00      0.00     42.19
18:32:38         20     47.94      0.00     10.82      0.00      0.00     41.24
18:32:38         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:38        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:40          0     48.04      0.00     11.27      0.00      0.00     40.69
18:32:40          2     44.78      0.00     14.43      0.00      0.00     40.80
18:32:40          4     46.19      0.00     12.18      0.00      0.00     41.62
18:32:40          6     48.06      0.00     12.14      0.00      0.00     39.81
18:32:40          8     48.28      0.00     12.32      0.00      0.00     39.41
18:32:40         10     48.00      0.00     11.00      0.00      0.00     41.00
18:32:40         12     49.50      0.00     10.00      0.00      0.00     40.50
18:32:40         14     45.45      0.00     13.13      0.00      0.00     41.41
18:32:40         16     49.25      0.00      9.55      0.00      0.00     41.21
18:32:40         18     47.76      0.00     12.44      0.00      0.00     39.80
18:32:40         20     48.79      0.00     11.11      0.00      0.00     40.10
18:32:40         22      0.00      0.00      0.00      0.00      0.00    100.00

18:32:40        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:32:42          0     46.67      0.00     12.82      0.00      0.00     40.51
18:32:42          2     48.26      0.00     11.44      0.00      0.00     40.30
18:32:42          4     47.24      0.00     11.56      0.00      0.00     41.21
18:32:42          6     49.25      0.00     10.95      0.00      0.00     39.80
18:32:42          8     45.83      0.00     11.98      0.00      0.00     42.19
18:32:42         10     45.18      0.00     13.71      0.00      0.00     41.12
18:32:42         12     42.56      0.00     15.90      0.00      0.00     41.54
18:32:42         14     51.94      0.00      9.71      0.00      0.00     38.35
18:32:42         16     48.24      0.00     11.06      0.00      0.00     40.70
18:32:42         18     51.47      0.00      8.82      0.00      0.00     39.71
18:32:42         20     45.54      0.00     14.36      0.00      0.00     40.10
