  QueueTimes | ServiceTimes | SojournTimes
       6.760 |        2.032 |        8.792
       8.289 |        0.569 |        8.859
       8.716 |        0.862 |        9.578
       7.347 |        1.596 |        8.943
       3.689 |        0.722 |        4.411
       0.155 |        1.085 |        1.240
       0.193 |        3.179 |        3.371
       3.019 |        2.158 |        5.177
       4.613 |        0.696 |        5.308
       4.387 |        1.996 |        6.383
       4.065 |        1.390 |        5.455
       0.186 |        2.297 |        2.482
       0.192 |        0.770 |        0.962
       0.196 |        0.943 |        1.139
       0.544 |        0.993 |        1.537
       0.214 |        0.824 |        1.037
       0.805 |        1.943 |        2.748
       1.329 |        1.832 |        3.161
       0.180 |        0.668 |        0.848
       0.193 |        0.665 |        0.858
       0.786 |        1.223 |        2.009
       0.185 |        1.926 |        2.111
       0.158 |        0.810 |        0.968
       0.798 |        1.030 |        1.828
       1.077 |        1.495 |        2.572
       0.454 |        1.110 |        1.564
       0.194 |        4.696 |        4.890
       0.194 |        4.283 |        4.477
       0.934 |        0.646 |        1.580
       0.190 |        2.597 |        2.786
       0.196 |        5.102 |        5.298
       1.564 |        0.536 |        2.100
       0.185 |        1.802 |        1.987
       0.154 |        3.793 |        3.947
       0.195 |        0.746 |        0.941
       0.196 |        2.094 |        2.290
       0.819 |        0.800 |        1.618
       0.185 |        1.186 |        1.371
       0.192 |        2.012 |        2.204
       0.197 |        1.064 |        1.261
       0.189 |        3.078 |        3.267
       0.434 |        1.322 |        1.755
       0.185 |        1.236 |        1.421
       0.176 |        2.567 |        2.743
       0.199 |        1.405 |        1.603
       1.051 |        5.183 |        6.233
       0.487 |        1.470 |        1.957
       1.070 |        3.101 |        4.171
       3.226 |        0.789 |        4.015
       2.458 |        2.135 |        4.592
       4.241 |        1.665 |        5.906
       1.661 |        1.425 |        3.085
       2.280 |        0.830 |        3.110
       0.192 |        0.709 |        0.901
       0.195 |        3.907 |        4.102
       3.482 |        1.533 |        5.015
       2.918 |        0.970 |        3.889
       0.194 |        0.721 |        0.915
       0.196 |        1.828 |        2.024
       0.195 |        0.700 |        0.896
       0.202 |        3.684 |        3.886
       0.176 |        1.964 |        2.140
       0.202 |        3.807 |        4.009
       0.188 |        0.607 |        0.795
       0.178 |        2.100 |        2.278
       0.198 |        4.043 |        4.241
       5.099 |        0.667 |        5.767
       1.750 |        1.540 |        3.290
       2.831 |        0.300 |        3.131
       1.049 |        0.760 |        1.809
       0.176 |        3.041 |        3.217
       2.156 |        2.058 |        4.214
       2.445 |        1.367 |        3.812
       1.392 |        1.518 |        2.910
       0.187 |        3.349 |        3.536
       2.168 |        1.093 |        3.261
       3.150 |        3.550 |        6.700
       3.603 |        2.484 |        6.088
       5.753 |        0.822 |        6.576
       2.822 |        0.994 |        3.816
       2.238 |        0.603 |        2.841
       2.271 |        4.592 |        6.863
       5.354 |        1.083 |        6.438
       2.409 |        2.706 |        5.116
       4.692 |        2.086 |        6.779
       0.188 |        4.618 |        4.807
       3.622 |        1.610 |        5.232
       4.202 |        1.569 |        5.771
       5.219 |        3.133 |        8.352
       4.188 |        3.839 |        8.026
       6.640 |        2.343 |        8.983
       8.157 |        0.951 |        9.108
       8.012 |        1.155 |        9.167
       8.072 |        4.957 |       13.029
      11.356 |        1.635 |       12.991
       8.457 |        2.604 |       11.061
       9.175 |        1.373 |       10.548
       9.373 |        2.334 |       11.707
      11.512 |        0.724 |       12.236
      11.953 |        0.990 |       12.943
      12.198 |        3.505 |       15.703
      13.704 |        1.942 |       15.646
       9.897 |        0.589 |       10.486
       4.732 |        0.409 |        5.141
       4.488 |        0.696 |        5.185
       1.160 |        4.907 |        6.067
       1.516 |        1.264 |        2.781
       1.397 |        4.359 |        5.756
       2.417 |        0.618 |        3.035
       2.454 |        1.183 |        3.637
       1.433 |        0.651 |        2.084
       0.189 |        1.445 |        1.634
       0.195 |        1.653 |        1.848
       0.396 |        2.247 |        2.643
       2.167 |        0.613 |        2.780
       0.712 |        3.256 |        3.968
       2.653 |        1.503 |        4.156
       2.522 |        4.959 |        7.482
       6.122 |        2.385 |        8.507
       7.537 |        3.742 |       11.279
       5.109 |        0.993 |        6.102
       5.771 |        3.771 |        9.542
       9.188 |        0.786 |        9.974
       2.342 |        0.824 |        3.166
       1.984 |        0.699 |        2.683
       0.193 |        0.722 |        0.914
       0.195 |        0.651 |        0.847
       0.200 |        2.351 |        2.551
       0.197 |        1.336 |        1.533
       1.043 |        0.582 |        1.626
       0.188 |        2.743 |        2.931
       2.341 |        2.937 |        5.278
       0.190 |        1.059 |        1.249
       0.193 |        2.770 |        2.963
       2.171 |        2.503 |        4.674
       0.725 |        0.898 |        1.623
       0.817 |        1.825 |        2.642
