Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:33          6     56.35      0.00     11.68      0.00      0.00     31.98
18:33:33          8     55.32      0.00     11.17      0.00      0.00     33.51
18:33:33         10     58.21      0.00     10.95      0.00      0.00     30.85
18:33:33         12     51.53      0.00     16.84      0.00      0.00     31.63
18:33:33         14     54.59      0.00     13.27      0.00      0.00     32.14
18:33:33         16     57.79      0.00     11.06      0.00      0.00     31.16
18:33:33         18     53.61      0.00     13.40      0.00      0.00     32.99
18:33:33         20     52.28      0.00     15.23      0.00      0.00     32.49
18:33:33         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:35          0     53.68      0.00     12.63      0.00      0.00     33.68
18:33:35          2     50.51      0.00     15.82      0.00      0.00     33.67
18:33:35          4     52.33      0.00     15.03      0.00      0.00     32.64
18:33:35          6     53.57      0.00     13.78      0.00      0.00     32.65
18:33:35          8     54.97      0.00     10.99      0.00      0.00     34.03
18:33:35         10     52.06      0.00     13.92      0.00      0.00     34.02
18:33:35         12     54.55      0.00     12.63      0.00      0.00     32.83
18:33:35         14     55.67      0.00     10.31      0.00      0.00     34.02
18:33:35         16     53.23      0.00     13.93      0.00      0.00     32.84
18:33:35         18     58.50      0.00     10.00      0.00      0.00     31.50
18:33:35         20     52.63      0.00     13.68      0.00      0.00     33.68
18:33:35         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:35        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:37          0     56.28      0.00     12.06      0.00      0.00     31.66
18:33:37          2     54.21      0.00     12.11      0.00      0.00     33.68
18:33:37          4     56.19      0.00     11.86      0.00      0.00     31.96
18:33:37          6     55.45      0.00     12.87      0.00      0.00     31.68
18:33:37          8     54.69      0.00     12.50      0.00      0.00     32.81
18:33:37         10     56.85      0.00     10.15      0.00      0.00     32.99
18:33:37         12     56.06      0.00     11.62      0.00      0.00     32.32
18:33:37         14     55.38      0.00     11.79      0.00      0.00     32.82
18:33:37         16     54.92      0.00     12.44      0.00      0.00     32.64
18:33:37         18     53.03      0.00     15.66      0.00      0.00     31.31
18:33:37         20     54.04      0.00     14.14      0.00      0.00     31.82
18:33:37         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:37        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:39          0     53.77      0.00     13.57      0.00      0.00     32.66
18:33:39          2     55.22      0.00     13.43      0.00      0.00     31.34
18:33:39          4     55.39      0.00     13.24      0.00      0.00     31.37
18:33:39          6     53.57      0.00     14.29      0.00      0.00     32.14
