  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       9.000 |        8.663 |        1.814 |       10.477
      16.000 |        8.860 |        0.425 |        9.285
      11.000 |        8.871 |        0.432 |        9.304
       4.000 |        8.981 |        0.668 |        9.649
      12.000 |        8.629 |        1.257 |        9.886
      10.000 |        8.924 |        0.940 |        9.863
      10.000 |        9.214 |        0.568 |        9.782
      11.000 |        8.870 |        1.467 |       10.337
       8.000 |        9.116 |        0.933 |       10.049
       8.000 |        9.097 |        1.358 |       10.456
      13.000 |        9.376 |        0.741 |       10.118
       8.000 |        9.116 |        1.840 |       10.956
       8.000 |        8.783 |        2.755 |       11.538
       6.000 |        9.804 |        0.693 |       10.496
       3.000 |        9.465 |        1.363 |       10.828
      11.000 |        9.343 |        1.678 |       11.021
       8.000 |        9.950 |        0.913 |       10.863
      12.000 |        9.855 |        1.141 |       10.996
       7.000 |        9.482 |        2.225 |       11.707
       7.000 |       10.613 |        0.504 |       11.117
      10.000 |       10.162 |        0.862 |       11.024
       7.000 |       10.363 |        0.729 |       11.093
      16.000 |       10.413 |        0.619 |       11.032
      12.000 |       10.317 |        0.610 |       10.927
       9.000 |       10.425 |        0.528 |       10.953
      12.000 |       10.369 |        1.192 |       11.561
       7.000 |       10.446 |        0.387 |       10.833
       9.000 |       10.347 |        0.610 |       10.957
      12.000 |        9.909 |        0.339 |       10.248
       7.000 |        9.591 |        0.524 |       10.115
       6.000 |       10.173 |        1.843 |       12.016
      14.000 |       10.389 |        1.562 |       11.951
       9.000 |       10.046 |        1.074 |       11.120
       5.000 |        9.610 |        0.835 |       10.445
       8.000 |        9.605 |        0.281 |        9.886
       7.000 |       10.135 |        1.269 |       11.404
      12.000 |        9.725 |        0.491 |       10.216
      12.000 |       10.154 |        2.158 |       12.311
       5.000 |        9.676 |        1.180 |       10.856
      10.000 |        9.740 |        0.860 |       10.600
       7.000 |        9.951 |        2.344 |       12.295
      11.000 |        9.705 |        0.446 |       10.151
       7.000 |        9.803 |        1.188 |       10.991
       5.000 |        9.714 |        1.196 |       10.909
       7.000 |        9.783 |        1.019 |       10.802
       6.000 |        9.574 |        1.960 |       11.534
       9.000 |        9.811 |        0.703 |       10.514
      10.000 |        9.812 |        0.358 |       10.170
      10.000 |        9.786 |        0.773 |       10.558
       7.000 |        9.893 |        0.378 |       10.271
       7.000 |        9.890 |        0.579 |       10.469
       8.000 |       10.003 |        0.435 |       10.439
       6.000 |        9.797 |        0.961 |       10.757
       9.000 |        9.873 |        0.521 |       10.394
       9.000 |        9.937 |        0.342 |       10.279
       7.000 |        9.299 |        0.413 |        9.712
       6.000 |        9.819 |        1.765 |       11.584
      11.000 |        9.952 |        1.198 |       11.150
       4.000 |        9.870 |        2.345 |       12.215
      10.000 |       10.278 |        0.773 |       11.051
      11.000 |        9.490 |        0.581 |       10.071
       5.000 |        9.584 |        0.431 |       10.014
      10.000 |        9.414 |        1.027 |       10.441
       9.000 |        9.422 |        0.715 |       10.137
      10.000 |        9.502 |        1.059 |       10.561
       9.000 |        9.547 |        0.827 |       10.374
      12.000 |        9.924 |        2.658 |       12.582
       5.000 |        9.772 |        0.317 |       10.089
       6.000 |        9.808 |        0.556 |       10.364
      10.000 |        9.631 |        1.609 |       11.240
       5.000 |        9.733 |        0.349 |       10.081
      16.000 |        9.987 |        0.627 |       10.614
      13.000 |        9.684 |        1.534 |       11.218
      11.000 |        9.862 |        0.421 |       10.284
       9.000 |        9.666 |        2.530 |       12.196
       8.000 |        9.861 |        0.526 |       10.388
      10.000 |        9.894 |        0.566 |       10.459
       9.000 |        9.613 |        2.808 |       12.421
       7.000 |        9.740 |        0.540 |       10.280
       8.000 |        9.797 |        0.690 |       10.486
       7.000 |        9.630 |        0.454 |       10.084
       5.000 |        9.634 |        0.509 |       10.143
      11.000 |       10.072 |        2.255 |       12.327
       7.000 |        9.209 |        0.599 |        9.808
       7.000 |        9.247 |        0.412 |        9.659
       7.000 |        9.541 |        1.459 |       11.000
      13.000 |        9.274 |        0.860 |       10.133
      12.000 |        9.441 |        0.613 |       10.054
      10.000 |        9.555 |        0.449 |       10.003
       5.000 |        9.472 |        0.615 |       10.087
      15.000 |        9.648 |        0.602 |       10.249
       6.000 |        9.249 |        1.986 |       11.235
       7.000 |        9.578 |        0.516 |       10.094
      10.000 |        9.697 |        2.314 |       12.012
       4.000 |        9.536 |        0.934 |       10.470
      13.000 |        9.755 |        1.192 |       10.946
       7.000 |        9.620 |        0.358 |        9.978
       6.000 |        9.762 |        0.482 |       10.244
      11.000 |        9.481 |        1.916 |       11.397
      12.000 |        9.599 |        1.268 |       10.867
       7.000 |        9.467 |        0.559 |       10.027
       8.000 |        9.390 |        0.730 |       10.120
      13.000 |        9.667 |        0.429 |       10.096
      15.000 |        9.815 |        1.250 |       11.066
       6.000 |        9.758 |        0.342 |       10.100
       6.000 |        9.632 |        0.850 |       10.482
      12.000 |        9.784 |        0.628 |       10.412
       8.000 |        9.747 |        0.945 |       10.692
       8.000 |        9.547 |        0.593 |       10.140
       6.000 |        9.839 |        0.395 |       10.234
      19.000 |        9.379 |        0.497 |        9.877
      15.000 |        9.301 |        0.386 |        9.687
      13.000 |        9.587 |        1.337 |       10.924
       7.000 |        9.486 |        0.655 |       10.141
       8.000 |        9.587 |        0.325 |        9.912
       8.000 |        9.445 |        0.509 |        9.954
       9.000 |        9.620 |        0.732 |       10.352
      12.000 |        9.714 |        0.395 |       10.109
       7.000 |        9.747 |        0.304 |       10.050
       6.000 |        9.630 |        0.303 |        9.933
       9.000 |        9.806 |        1.600 |       11.406
      10.000 |        9.278 |        0.392 |        9.670
       8.000 |        9.414 |        0.328 |        9.742
       6.000 |        9.607 |        2.202 |       11.808
       3.000 |        9.414 |        0.586 |       10.000
       9.000 |        9.560 |        0.518 |       10.078
      11.000 |        9.725 |        1.077 |       10.802
      10.000 |        9.601 |        0.459 |       10.060
       6.000 |        8.792 |        0.455 |        9.247
      12.000 |        8.939 |        0.311 |        9.250
       6.000 |        9.093 |        0.216 |        9.309
       9.000 |        9.508 |        1.161 |       10.670
       8.000 |        9.907 |        1.453 |       11.360
       8.000 |        9.064 |        0.581 |        9.645
       8.000 |        9.852 |        0.795 |       10.647
       6.000 |        9.616 |        1.124 |       10.740
       9.000 |        9.171 |        0.528 |        9.699
      10.000 |        9.112 |        0.800 |        9.912
       9.000 |        9.272 |        0.598 |        9.871
      12.000 |        9.231 |        0.827 |       10.058
       5.000 |        8.302 |        0.572 |        8.873
       9.000 |        9.241 |        1.053 |       10.294
       9.000 |        8.853 |        0.833 |        9.686
       8.000 |        8.651 |        0.873 |        9.523
       4.000 |        7.956 |        0.518 |        8.474
       7.000 |        9.024 |        1.470 |       10.494
       8.000 |        8.164 |        0.399 |        8.563
       6.000 |        7.907 |        0.417 |        8.324
       6.000 |        8.164 |        0.796 |        8.960
       5.000 |        7.781 |        1.337 |        9.118
       6.000 |        7.990 |        1.718 |        9.709
      10.000 |        7.589 |        0.638 |        8.228
      11.000 |        8.303 |        1.177 |        9.480
      10.000 |        7.562 |        0.590 |        8.152
      11.000 |        7.897 |        0.327 |        8.225
       9.000 |        7.476 |        0.507 |        7.983
       5.000 |        7.692 |        1.536 |        9.228
      11.000 |        7.538 |        0.282 |        7.820
       6.000 |        7.485 |        0.551 |        8.036
      12.000 |        7.576 |        0.463 |        8.039
       9.000 |        7.358 |        1.702 |        9.060
       5.000 |        7.516 |        1.484 |        8.999
      14.000 |        7.676 |        0.577 |        8.252
       7.000 |        7.440 |        1.380 |        8.821
      12.000 |        7.644 |        0.879 |        8.523
      12.000 |        7.697 |        0.327 |        8.024
      15.000 |        7.635 |        0.841 |        8.476
      11.000 |        7.667 |        0.988 |        8.655
       7.000 |        7.516 |        2.148 |        9.664
       7.000 |        7.584 |        0.966 |        8.550
      10.000 |        7.618 |        0.737 |        8.355
      11.000 |        7.624 |        0.625 |        8.249
      12.000 |        7.574 |        1.946 |        9.519
       7.000 |        7.757 |        1.244 |        9.001
       7.000 |        7.894 |        0.488 |        8.382
       8.000 |        7.945 |        0.464 |        8.409
      14.000 |        7.829 |        0.855 |        8.684
       7.000 |        8.180 |        0.464 |        8.644
       9.000 |        8.111 |        0.629 |        8.740
       6.000 |        8.463 |        0.326 |        8.789
       7.000 |        8.003 |        2.319 |       10.322
